user_id	trial_date	purchase_date	type
1135262436	2019-07-01 0:08:04	NULL	monthly
845001579	2019-07-01 0:41:08	NULL	monthly
26651700	2019-07-01 0:48:14	NULL	monthly
1258970030	2019-07-01 2:00:42	NULL	yearly
-360520572	2019-07-01 2:05:20	2019-07-15 2:05:20	monthly
2098589357	2019-07-01 2:22:28	2019-07-15 2:22:28	monthly
979858981	2019-07-01 3:00:13	NULL	yearly
-423357939	2019-07-01 3:41:48	2019-07-15 3:41:48	monthly
24896870	2019-07-01 5:32:37	NULL	yearly
-1022254745	2019-07-01 5:56:17	2019-07-17 5:31:28	yearly
-1983530034	2019-07-01 6:22:13	NULL	yearly
-16300981	2019-07-01 6:24:27	NULL	yearly
920556112	2019-07-01 6:56:57	NULL	yearly
732309120	2019-07-01 7:12:09	NULL	yearly
1542544820	2019-07-01 7:15:27	NULL	yearly
1584325786	2019-07-01 7:42:31	2019-07-15 7:42:31	yearly
-1155633043	2019-07-01 8:20:29	2019-07-15 8:20:29	yearly
1606393854	2019-07-01 8:27:57	NULL	yearly
-1628093605	2019-07-01 8:30:27	2019-07-15 8:30:27	yearly
-1417472793	2019-07-01 8:30:46	2019-07-15 8:30:46	yearly
-2061750990	2019-07-01 8:58:46	NULL	yearly
-1771056789	2019-07-01 9:03:42	2019-07-15 9:03:42	yearly
-1305004667	2019-07-01 9:08:35	NULL	yearly
553928157	2019-07-01 9:57:14	2019-07-15 9:57:14	yearly
1243451119	2019-07-01 9:57:28	NULL	yearly
-119288801	2019-07-01 9:59:34	NULL	monthly
1416662730	2019-07-01 10:08:48	2019-07-15 10:08:48	yearly
-1024800189	2019-07-01 10:29:54	NULL	yearly
1962672304	2019-07-01 10:53:11	2019-07-19 13:21:34	monthly
1341571185	2019-07-01 11:05:04	2019-07-15 11:05:04	yearly
204407831	2019-07-01 11:50:25	NULL	yearly
357082686	2019-07-01 11:51:18	NULL	yearly
-1891716507	2019-07-01 11:54:09	2019-07-15 11:54:09	yearly
-640234547	2019-07-01 12:20:41	NULL	yearly
-1249838309	2019-07-01 12:30:50	NULL	yearly
1547202508	2019-07-01 12:53:08	2019-07-15 12:53:08	yearly
